title,page_title,type_main,type_sub,faction,grade,grade_raw,grade_sort,inner_property,positive_effect_raw,negative_effect_raw,effect_summary_raw,effect_tags,effect_tags_fine,recommend_path_lv1,recommend_path_lv2,recommend_path_lv3,build_bucket_lv1,build_bucket_lv2,build_bucket_source,build_bucket_confidence,requirement_attr_raw,requirement_attainment_raw,performance_note_raw,sources,confidence,notes
大威勇神通,功法/大威勇神通,内功,,狮相门,5,秘·五品,5,金刚,运用者至少有4个重创标记时：根据运用者的当前膂力降低敌人对运用者造成的直接重创伤害，且运用者的当前膂力会随时间逐渐消耗,敌人至少有4个重创标记时：根据运用者的当前膂力提高运用者对敌人造成的直接重创伤害，且运用者的当前膂力会随时间逐渐消耗,“铁骑绕龙城，弓鸣断绝鳞，虎狮奋风雷，威勇第一魁”。于冲锋陷阵，千百次血战中磨砺而出的神威，虽不拘于吐纳修为，却极重胆气与心境，非久经战阵之人不能精通。,,通用|资源|伤势联动,,,,内功,通用类,inferred,low,体质：190,内功造诣：300,,功法/大威勇神通,high,目录外功法；build分类低置信度：内功/通用类
玄冥真经,功法/玄冥真经,内功,,界青门,5,秘·五品,5,玄阴,"将运用者的「金刚」内力转化为「玄阴」内力，转化的比例越多，运用者的「玄阴」类功法的威力就增加越多；如果运用者原本没有「金刚」内力，运用者不会被「金刚」、「玄阴」类功法命中要害
功法威力增加（0.2×以此法转化的「金刚」内力占比%)[加值]","将运用者的「归元」内力转化为「玄阴」内力，转化的比例越多，运用者的「玄阴」类功法的威力就增加越多；如果运用者原本没有「归元」内力，运用者不会被「归元」、「玄阴」类功法命中要害
功法威力增加（0.2×以此法转化的「归元」内力占比%)[加值]",玄冥乃北方之神，主杀戮。所谓：“玄冥掌雪，群物严节”，玄冥真经上应北斗，暗藏杀机，能以极寒之真气发无穷之威能，于反掌之间定一人之命数。,威力|转化|命中|真气,通用|增伤|资源,,,,内功,通用类,inferred,low,"根骨：80
悟性：80","内功造诣：300
术数造诣：300",,功法/玄冥真经,high,目录外功法；build分类低置信度：内功/通用类
九鼎功,功法/九鼎功,内功,,空桑派,5,秘·五品,5,归元,"运用者剩余的寿元越长，运用者所有功法的威力就增加越多，最多增加20%
威力增加「剩余寿命单位为年*0.3」%[加值]","运用者剩余的寿元越短，运用者所有功法的威力就提高越多，最多增加20%
威力增加「年龄单位为年*0.3」%[加值]",禹铸九鼎，以承天休，天命不改，九鼎不移。九鼎功以药养形，以气存身，结合导引、辟谷、烧炼、服食之术，乃是追求天命长久、永生不灭的奇异法门。,威力,通用|增伤,,,,内功,通用类,inferred,low,"体质：45
根骨：45
悟性：70","内功造诣：300
医术造诣：240
毒术造诣：240",,功法/九鼎功,high,目录外功法；build分类低置信度：内功/通用类
太阴炼形,功法/太阴炼形,内功,,血犼教,5,秘·五品,5,归元,"将运用者的「纯阳」内力转化为「归元」内力，转化的比例越多，运用者的「归元」类功法的威力就提高越多；如果运用者原本没有「纯阳」内力，运用者不会被「纯阳」、「归元」类功法命中要害
功法威力增加（0.2×以此法转化的「纯阳」内力占比%)[加值]","将运用者的「玄阴」内力转化为「归元」内力，转化的比例越多，运用者的「归元」类功法的威力就提高越多；如果运用者原本没有「玄阴」内力，运用者不会被「玄阴」、「归元」类功法命中要害
功法威力增加（0.2×以此法转化的「玄阴」内力占比%)[加值]",生者主阳，死者主阴。太阴炼形能借天地之精华，将阴气化入经脉、腑脏之中，达到养气存形，非人非鬼的境界。,威力|转化|命中|真气,通用|增伤|资源,,,,内功,通用类,inferred,low,"体质：95
根骨：65","内功造诣：300
毒术造诣：240
杂学造诣：240",,功法/太阴炼形,high,目录外功法；build分类低置信度：内功/通用类
祭魂生威篇,功法/祭魂生威篇,内功,,铸剑山庄,5,秘·五品,5,纯阳,"增加运用者所装备的「兵器」的威力上限
运用者装备的武器的发挥上限+30% [加值]","降低运用者所装备的「兵器」的发挥需求
运用者装备的武器的使用需求-20% [加成]",相传古之名匠见金铁不销，则亲烁其身，断发剪爪以成物。祭魂生威篇详述以魂祭器，壮其威势的秘法，乃是铸剑山庄代代相传、默会不宣的无上心诀。,威力|减耗,通用,,,,内功,通用类,inferred,low,"体质：110
悟性：50","内功造诣：300
锻造造诣：180
制木造诣：180
织锦造诣：180
巧匠造诣：180",运用者装备的武器的发挥上限+30% [加值],功法/祭魂生威篇,high,目录外功法；build分类低置信度：内功/通用类
大日经,功法/大日经,内功,,无量金刚宗,4,极·四品,6,金刚,"将运用者的「归元」内力转化为「金刚」内力，转化的比例越多，运用者的「金刚」类功法的威力就提高越多；如果运用者原本没有「归元」内力，运用者不会被「归元」、「金刚」类功法命中要害
功法威力增加（0.2×以此法转化的「归元」内力占比%)[加值]","将运用者的「纯阳」内力转化为「金刚」内力，转化的比例越多，运用者的「金刚」类功法的威力就提高越多；如果运用者原本没有「纯阳」内力，运用者不会被「纯阳」、「金刚」类功法命中要害
功法威力增加（0.2×以此法转化的「纯阳」内力占比%)[加值]",大日经以“菩提心为因，大悲为根，方便为究竟”，修习者可以无上光明击破外道，摧坏烦恼，知法无异辙，殊途同归。,威力|转化|命中|真气,通用|增伤|资源,,,,内功,通用类,inferred,low,"定力：65
体质：55
根骨：55","内功造诣：350
佛学造诣：350",,功法/大日经,high,门派标准化：金刚宗 -> 无量金刚宗；目录外功法；build分类低置信度：内功/通用类
堕心九部众,功法/堕心九部众,内功,,无门无派,4,极·四品,6,混元,堕心九部众根据敌人的内力属性持续向敌人施加不同类型的「剧毒」,堕心九部众根据敌人的内力属性持续向敌人施加不同类型的「剧毒」,心堕九渊，天道难饶……,真气|持续,通用|资源,,,,内功,通用类,inferred,low,,,,功法/堕心九部众,high,目录外功法；build分类低置信度：内功/通用类
帝女神功,功法/帝女神功,内功,,璇女派,4,极·四品,6,玄阴,"将运用者的「紫霞」内力转化为「玄阴」内力，转化的比例越多，运用者的「玄阴」类功法的威力就提高越多；如果运用者原本没有「紫霞」内力，运用者不会被「紫霞」、「玄阴」类功法命中要害
功法威力增加（0.2×以此法转化的「紫霞」内力占比%)[加值]","将运用者的「纯阳」内力转化为「玄阴」内力，转化的比例越多，运用者的「玄阴」类功法的威力就提高越多；如果运用者原本没有「纯阳」内力，运用者不会被「纯阳」、「玄阴」类功法命中要害
功法威力增加（0.2×以此法转化的「纯阳」内力占比%)[加值]",帝女神功无意无为，不耽不著，外合自然，内练玄丹，功成者身心不妄，真道不失，面生玉光，体有金泽，宛如帝女乘灵舆，玄风下紫虚。,威力|转化|命中|真气,通用|增伤|资源,,,,内功,通用类,inferred,low,"根骨：100
悟性：75","内功造诣：350
绘画造诣：280
道法造诣：280",,功法/帝女神功,high,目录外功法；build分类低置信度：内功/通用类
封解出元篇,功法/封解出元篇,内功,,铸剑山庄,4,极·四品,6,纯阳,运用者的战败标记总数超过战败条件的一半时：根据运用者的当前定力提高运用者所有兵器、护具的威力和兵器解封速度，且运用者的当前定力会随时间逐渐消耗,敌人的战败标记总数超过战败条件的一半时：根据运用者的当前定力降低敌人所有兵器、护具的威力和兵器解封速度，且运用者的当前定力会随时间逐渐消耗,封解出元篇阐述解封禁制、破障铸元之法，剖析玄锁机关，亦探究心志枷锁。修习者可以自身元神铸入金铁竹石，与物合一，取万物本元为己用，化为至大威力，正所谓“解千钧之缚，启冲天之途”。,威力,通用|控制|资源,,,,内功,通用类,inferred,low,"体质：120
悟性：55","内功造诣：350
锻造造诣：210
制木造诣：210
织锦造诣：210
巧匠造诣：210",,功法/封解出元篇,high,目录外功法；build分类低置信度：内功/通用类
百邪体大法,功法/百邪体大法,内功,,五仙教,3,超·三品,7,紫霞,"运用者的负面「特性」越多，运用者所有功法的威力就提高越多
运用者的每个负面特性令运用者的所有功法的威力+3% [加成]","敌人的正面「特性」越多，敌人所有功法的威力就降低越多
敌人的每个正面特性令敌人的所有功法的威力-3% [加成]",百邪，即众毒之谓也。百邪体大法汇聚世间诸邪，能以阴毒之气养人之真形，使人精气充塞，神魂清明，灾殃奔散，群鬼摧精。,威力,通用,,,,内功,通用类,inferred,low,"体质：40
根骨：40
悟性：110","内功造诣：400
毒术造诣：400",,功法/百邪体大法,high,目录外功法；build分类低置信度：内功/通用类
阿罗汉神功,功法/阿罗汉神功,内功,,少林派,3,超·三品,7,金刚,"运用者的「佛学」造诣越高，运用者在战斗中进行「疗伤」时能够治愈的伤势标记就越多
治疗效果增加(25+佛学造诣/10)%[加值]","运用者的「佛学」造诣越高，运用者在战斗中进行「驱毒」时能够驱除的毒素就越多
驱除效果增加(25+佛学造诣/10)%[加值]
效果详见疗伤与驱毒",效果详见[[草稿/疗伤与驱毒|疗伤与驱毒]],威力|恢复,通用|生存|伤势联动|回复,,,,内功,通用类,inferred,low,"定力：60
体质：130","内功造诣：400
佛学造诣：400",,功法/阿罗汉神功,high,目录外功法；build分类低置信度：内功/通用类
坐忘玄功,功法/坐忘玄功,内功,,峨眉派,3,超·三品,7,混元,"小幅增加运用者的「紫霞」类功法的威力；可在施展「紫霞」类功法的过程中，点击消耗最少5点，最多15点运用者的「轻灵」真气，提高「紫霞」类功法50%的施展进度，最多将施展进度提高至75%
威力增加20%[加值]","降低运用者的「紫霞」类功法的提气、架势消耗；可在施展「紫霞」类功法的过程中，点击消耗最少5点，最多15点运用者的「轻灵」真气，增加「紫霞」类功法的威力
提气架势消耗减少20%[加成]",坐忘玄功诀无定诀，式无定式，形无定形，意无定意，正是：“堕肢体，黜聪明，离形去知，同于大通，此谓坐忘”。,威力|真气,通用|增伤|资源|减耗,,,,内功,通用类,inferred,low,"定力：70
悟性：120","内功造诣：400
道法造诣：320
佛学造诣：320",,功法/坐忘玄功,high,目录外功法；build分类低置信度：内功/通用类
金刚顶经,功法/金刚顶经,内功,,无量金刚宗,3,超·三品,7,金刚,"小幅增加运用者的「金刚」类功法的威力；可在施展「金刚」类功法的过程中，点击消耗最少5点，最多15点运用者的「护体」真气，提高「金刚」类功法50%的施展进度，最多将施展进度提高至75%
威力增加20%[加值]","降低运用者的「金刚」类功法的提气、架势消耗；可在施展「金刚」类功法的过程中，点击消耗最少5点，最多15点运用者的「护体」真气，增加「金刚」类功法的威力
提气架势消耗减少20%[加成]",摧灭四魔，恒常不坏，故名“金刚”；最胜无上，故名“顶”。金刚顶经含无边显密教义，乃诸经中最高者，能使人离一切虚伪，成无上之智。,威力|护体|真气,通用|增伤|资源|减耗,,,,内功,通用类,inferred,low,"定力：55
体质：75
根骨：60","内功造诣：400
佛学造诣：400",,功法/金刚顶经,high,门派标准化：金刚宗 -> 无量金刚宗；目录外功法；build分类低置信度：内功/通用类
众相生,功法/众相生,内功,,无门无派,3,超·三品,7,混元,众相生根据敌人的处世立场：令刚正的敌人的移动速度、步伐稳健大幅下降；令仁善的敌人的武具运用、攻击速度大幅下降；令中庸的敌人的提气恢复、架势恢复大幅下降；令叛逆的敌人的调息吐纳、内功发挥大幅下降；令唯我的敌人的施展速度、引气冲关大幅下降,众相生根据敌人的处世立场：令刚正的敌人的移动速度、步伐稳健大幅下降；令仁善的敌人的武具运用、攻击速度大幅下降；令中庸的敌人的提气恢复、架势恢复大幅下降；令叛逆的敌人的调息吐纳、内功发挥大幅下降；令唯我的敌人的施展速度、引气冲关大幅下降,众生怪相，鬼魔踏歌……,身法|恢复,通用|机动|资源|施展速度|移动速度|回复,,,,内功,通用类,inferred,low,,,,功法/众相生,high,目录外功法；build分类低置信度：内功/通用类
太乙神功,功法/太乙神功,内功,,武当派,3,超·三品,7,混元,"运用者的「道法」造诣越高，运用者在战斗中进行「疗伤」时能够治愈的伤势标记就越多
治疗效果增加(25+道法造诣/10)%[加值]","运用者的「道法」造诣越高，运用者在战斗中进行「驱毒」时能够驱除的毒素就越多
驱除效果增加(25+道法造诣/10)%[加值]
效果详见疗伤与驱毒",效果详见[[草稿/疗伤与驱毒|疗伤与驱毒]],威力|恢复,通用|生存|伤势联动|回复,,,,内功,通用类,inferred,low,"定力：80
根骨：110","内功造诣：400
道法造诣：400",,功法/太乙神功,high,目录外功法；build分类低置信度：内功/通用类
散势法,功法/散势法,内功,,然山派,3,超·三品,7,紫霞,"运用者的内力属性为「紫霞」时，运用者所有的功法更难被「封禁」、「打断」；运用者受到「紫霞」、「归元」、「玄阴」类功法的攻击时，直接重创伤害降低80%
若运用者的内力属性为「紫霞」，则运用者所有功法被封禁/打断的几率-60% [加值]","运用者的内力属性为「紫霞」时，即使施展功法所需的身体部位已残毁，仍能继续施展，但功法威力降低；运用者受到「紫霞」、「归元」、「玄阴」类功法的攻击时，如果该功法未能发挥十成威力，敌人会受到此功法的部分反噬伤害
若运用者的内力属性为「紫霞」，则运用者即使施展功法所需的身体部位已残毁，仍能继续施展，但此时功法威力-30% [加值]",散势法内精五气，外视虚实，功成者威肃内盛，循间而动，随其志意，知其计谋，而不失分散之实，故得利害之决、权变之威。,威力|反噬|真气,通用|减伤|生存|控制|资源|伤势联动|封禁功法,,,,内功,通用类,inferred,low,"定力：40
悟性：150","内功造诣：400
术数造诣：320
杂学造诣：320",,功法/散势法,high,目录外功法；build分类低置信度：内功/通用类
瑶池仙浴法,功法/瑶池仙浴法,内功,,璇女派,3,超·三品,7,玄阴,"小幅增加运用者的「玄阴」类功法的威力；可在施展「玄阴」类功法的过程中，点击消耗最少5点，最多15点运用者的「轻灵」真气，提高「玄阴」类功法50%的施展进度，最多将施展进度提高至75%
威力增加20%[加值]","降低运用者的「玄阴」类功法的提气、架势消耗；可在施展「玄阴」类功法的过程中，点击消耗最少5点，最多15点运用者的「轻灵」真气，增加「玄阴」类功法的威力
提气架势消耗减少20%[加成]",瑶池仙浴法乘阴化阳，寂感真神，动静相合，有无皆知，修习时八景合气，五云垂晖，如见寒风生玉树，凉气下瑶池，可令修习者开明聪察，守玄抱一，达于微妙，神气不离。,威力|真气,通用|增伤|资源|减耗,,,,内功,通用类,inferred,low,"灵敏：100
根骨：90","内功造诣：400
绘画造诣：320
道法造诣：320",,功法/瑶池仙浴法,high,目录外功法；build分类低置信度：内功/通用类
浑天星图,功法/浑天星图,内功,,界青门,3,超·三品,7,玄阴,"运用者的内力属性为「玄阴」时，运用者所有的功法更难被「封禁」、「打断」；运用者受到「玄阴」、「纯阳」、「金刚」类功法的攻击时，直接重创伤害降低80%
用者所有功法被封禁/打断的几率-60% [加值]","运用者的内力属性为「玄阴」时，即使施展功法所需的身体部位已残毁，仍能继续施展，但功法威力降低；运用者受到「玄阴」、「纯阳」、「金刚」类功法的攻击时，如果该功法未能发挥十成威力，敌人会受到此功法的部分反噬伤害
运用者即使施展功法所需的身体部位已残毁，仍能继续施展，但此时功法威力-30% [加值]",“茫茫地理，粲烂天文，四灵垂象，万类群分”。浑天星图揆测天行，推考星次，察天窥时，以明人事，功成者映满天星斗于方寸之中，故能趋吉避凶，天机尽知。,威力|反噬|真气,通用|减伤|生存|控制|资源|伤势联动|封禁功法,,,,内功,通用类,inferred,low,"灵敏：60
悟性：130","内功造诣：400
术数造诣：400",,功法/浑天星图,high,目录外功法；build分类低置信度：内功/通用类
童子血炼法,功法/童子血炼法,内功,,血犼教,3,超·三品,7,归元,"小幅增加运用者的「归元」类功法的威力；可在施展「归元」类功法的过程中，点击消耗最少5点，最多15点运用者的「摧破」真气，提高「归元」类功法50%的施展进度，最多将施展进度提高至75%
威力增加20%[加值]","降低运用者的「归元」类功法的提气、架势消耗；可在施展「归元」类功法的过程中，点击消耗最少5点，最多15点运用者的「摧破」真气，增加「归元」类功法的威力
提气架势消耗减少20%[加成]",“童子者，人神至精也”。童子血炼法弃清就浊，不离于垢，引恶归元，血污其身，乃是以邪气化为阳神，从而使人功满忘形、通凡入圣的奇术。,威力|真气,通用|增伤|资源|减耗,,,,内功,通用类,inferred,low,"膂力：40
体质：90
根骨：60","内功造诣：400
毒术造诣：320
杂学造诣：320",,功法/童子血炼法,high,目录外功法；build分类低置信度：内功/通用类
大玉阳神功,功法/大玉阳神功,内功,,伏龙坛,2,绝·二品,8,纯阳,"小幅增加运用者的「纯阳」类功法的威力；可在施展「纯阳」类功法的过程中，点击消耗最少5点，最多15点运用者的奇窍真气，提高「纯阳」类功法50%的施展进度，最多将施展进度提高至75%
威力增加20%[加值]","降低运用者的「纯阳」类功法的提气、架势消耗；可在施展「纯阳」类功法的过程中，点击消耗最少5点，最多15点运用者的「奇窍」真气，增加「纯阳」类功法的威力
提气架势消耗减少20%[加成]",玉为石之魂，玉阳即阳之魂。大玉阳神功威能外显，如日中天，修习者“呼翕九阳，抱一含元，引新吐故，云饮露餐”，可臻于至刚至纯、解浊还真之境。,威力|真气,通用|增伤|资源|减耗,,,,内功,通用类,inferred,low,"膂力：125
根骨：80","内功造诣：450
品鉴造诣：360
厨艺造诣：360",,功法/大玉阳神功,high,目录外功法；build分类低置信度：内功/通用类
易筋经,功法/易筋经,内功,,少林派,2,绝·二品,8,混元,"战斗开始时，大幅增加运用者的「护体」真气；大幅提高运用者的「护体」真气在战斗中的获得量；大幅降低运用者的「护体」真气在战斗中的损耗量
战斗开始时，护体真气增加60点
战斗中护体真气的获得量增加50%[同源增益]，损耗量减少50%[同源减益]","战斗开始时，大幅减少敌人及其助战的同伴的「护体」真气；大幅降低敌人的「护体」真气在战斗中的获得量；大幅提高敌人的「护体」真气在战斗中的损耗量
战斗开始时，敌人及其同伴的护体真气减少60点
敌人在战斗中护体真气的获得量减少50%[同源减益]，损耗量增加100%[同源增益]","战斗中护体真气的获得量增加50%[同源增益]，损耗量减少50%[同源减益]|逆=**战斗开始时，敌人及其同伴的护体真气减少60点
敌人在战斗中护体真气的获得量减少50%[同源减益]，损耗量增加100%[同源增益]}}",护体|真气,通用|资源,,,,内功,通用类,inferred,low,"定力：95
体质：110","内功造诣：450
佛学造诣：450",,功法/易筋经,high,目录外功法；build分类低置信度：内功/通用类
大般涅槃法,功法/大般涅槃法,内功,,峨眉派,2,绝·二品,8,紫霞,"运用者所有前世的「名誉」越高，运用者所有功法的威力就提高越多；如果运用者拥有九世轮回善果，额外提高运用者所有功法的威力
每个名誉为立身扬名/声驰千里/誉满天下的前世可分别令运用者所有功法的威力+3%/4%/5%加值，若运用者有九世轮回(善)特性共5个则直接获得最大加值(45%)","运用者所有前世的「名誉」越低，运用者所有功法的威力就提高越多；如果运用者拥有九世轮回恶果，额外提高运用者所有功法的威力
每个名誉为名声败坏/千夫所指/妖魔鬼怪的前世可分别令运用者所有功法的威力+3%/4%/5%加值，若运用者有九世轮回(恶)特性共5个则直接获得最大加值(45%)",诸法皆有生灭，神功亦复轮回，大般涅槃法寂而不败，死而后生，功力先衰而后盛，愈灭则愈强，几近佛陀无余涅槃之神通也。,威力,通用,,,,内功,通用类,inferred,low,"定力：80
根骨：65
悟性：60","内功造诣：450
道法造诣：360
佛学造诣：360",,功法/大般涅槃法,high,目录外功法；build分类低置信度：内功/通用类
摩诃迦罗护法功,功法/摩诃迦罗护法功,内功,,无量金刚宗,2,绝·二品,8,金刚,"运用者的战败标记总数超过战败条件的一半时，大幅提高运用者的真气在战斗中的获得量，且运用者不会再出现破绽
正练提高 60% 的真气获得量","运用者的战败标记总数超过战败条件的一半时，大幅降低运用者的真气在战斗中的损耗量，且运用者不会再出现封穴
逆练降低 30% 的真气损耗量",摩诃迦罗又称大黑天，乃是大日如来之化身，威德广大，能伏一切邪魔。摩诃迦罗护法功以正见为火，本心为剑，能清静六根，断除邪障，如得诸天护持，万神归仰。,命中|真气,通用|控制|资源|封穴联动|破绽联动,,,,内功,通用类,inferred,low,"膂力：110
定力：35
体质：60","内功造诣：450
佛学造诣：450",,功法/摩诃迦罗护法功,high,门派标准化：金刚宗 -> 无量金刚宗；目录外功法；build分类低置信度：内功/通用类
纯阳无极功,功法/纯阳无极功,内功,,武当派,2,绝·二品,8,纯阳,"运用者的内力属性为「纯阳」时，运用者所有的功法更难被「封禁」、「打断」；运用者受到「纯阳」、「金刚」、「紫霞」类功法的攻击时，直接重创伤害降低80%
运用者所有功法被封禁/打断的几率-60% [加成]","运用者的内力属性为「纯阳」时，即使施展功法所需的身体部位已残毁，仍能继续施展，但功法威力降低；运用者受到「纯阳」、「金刚」、「紫霞」类功法的攻击时，如果该功法未能发挥十成威力，敌人会受到此功法的部分反噬伤害
运用者功法威力-30% [加值]",“古之仙者，炼日之精，身归纯阳，飞游太清”。纯阳无极功引神合气，化于无形，与大道同心，与自然同性，可令功成者百脉皆通，五气不绝。,威力|反噬|真气,通用|减伤|生存|控制|资源|伤势联动|封禁功法,,,,内功,通用类,inferred,low,"定力：55
体质：35
根骨：115","内功造诣：450
道法造诣：450",,功法/纯阳无极功,high,目录外功法；build分类低置信度：内功/通用类
玄微真术,功法/玄微真术,内功,,然山派,2,绝·二品,8,混元,"战斗开始时，大幅增加运用者的「奇窍」真气；大幅提高运用者的「奇窍」真气在战斗中的获得量；大幅降低运用者的「奇窍」真气在战斗中的损耗量
战斗开始时，奇窍真气增加60点
战斗中奇窍真气的获得量增加50%[同源增益]，损耗量减少50%[同源减益]","战斗开始时，大幅减少敌人及其助战的同伴的「奇窍」真气；大幅降低敌人的「奇窍」真气在战斗中的获得量；大幅提高敌人的「奇窍」真气在战斗中的损耗量
战斗开始时，敌人及其同伴的奇窍真气减少30点
敌人在战斗中奇窍真气的获得量减少50%[同源减益]，损耗量增加100%[同源增益]","战斗中奇窍真气的获得量增加50%[同源增益]，损耗量减少50%[同源减益]|逆=**战斗开始时，敌人及其同伴的奇窍真气减少30点
敌人在战斗中奇窍真气的获得量减少50%[同源减益]，损耗量增加100%[同源增益]}}",真气,通用|资源,,,,内功,通用类,inferred,low,"根骨：45
悟性：160","内功造诣：450
术数造诣：360
杂学造诣：360",,功法/玄微真术,high,目录外功法；build分类低置信度：内功/通用类
太元玉女功,功法/太元玉女功,内功,,璇女派,2,绝·二品,8,混元,"战斗开始时，大幅增加运用者的「轻灵」真气；大幅提高运用者的「轻灵」真气在战斗中的获得量；大幅降低运用者的「轻灵」真气在战斗中的损耗量
战斗开始时，轻灵真气增加60点
战斗中轻灵真气的获得量增加50%[同源增益]，损耗量减少50%[同源减益]","战斗开始时，大幅减少敌人及其助战的同伴的「轻灵」真气；大幅降低敌人的「轻灵」真气在战斗中的获得量；大幅提高敌人的「轻灵」真气在战斗中的损耗量
战斗开始时，敌人及其同伴的轻灵真气减少30点
敌人在战斗中轻灵真气的获得量减少50%[同源减益]，损耗量增加50%[同源增益]","战斗中轻灵真气的获得量增加50%[同源增益]，损耗量减少50%[同源减益]|逆=**战斗开始时，敌人及其同伴的轻灵真气减少30点
敌人在战斗中轻灵真气的获得量减少50%[同源减益]，损耗量增加50%[同源增益]}}",真气,通用|资源,,,,内功,通用类,inferred,low,"根骨：125
悟性：80","内功造诣：450
绘画造诣：360
道法造诣：360",,功法/太元玉女功,high,目录外功法；build分类低置信度：内功/通用类
血犼邪经,功法/血犼邪经,内功,,血犼教,2,绝·二品,8,归元,"运用者的内力属性为「归元」时，运用者所有的功法更难被「封禁」、「打断」；运用者受到「归元」、「玄阴」、「纯阳」类功法的攻击时，直接重创伤害降低80%
运用者所有功法被封禁/打断的几率-60% [加成]","运用者的内力属性为「归元」时，即使施展功法所需的身体部位已残毁，仍能继续施展，但功法威力降低；运用者受到「归元」、「玄阴」、「纯阳」类功法的攻击时，如果该功法未能发挥十成威力，敌人会受到此功法的部分反噬伤害
运用者即使施展功法所需的身体部位已残毁，仍能继续施展，但此时功法威力-30% [加值]",血犼邪经观于不净，成于颠倒，见苦则乐，见魔则喜，乃血犼教不传之秘。功成者离于世间正邪、凡俗好恶，不以无明为困、罪业为扰，好似脱出樊笼，豁然开朗。,威力|反噬|真气,通用|减伤|生存|控制|资源|伤势联动|封禁功法,,,,内功,通用类,inferred,low,"膂力：110
体质：45
悟性：50","内功造诣：450
毒术造诣：360
杂学造诣：360",,功法/血犼邪经,high,目录外功法；build分类低置信度：内功/通用类
洗髓经,功法/洗髓经,内功,,少林派,1,神·一品,9,混元,"大幅提高运用者所有的主要属性的上限，且运用者所受直接外伤重创伤害降低50%；如果运用者为童子之身，小幅提高运用者所有功法的威力，且可使运用者青春不老
运用者的主要属性上限增加20 [加值]
所受直接外伤重创伤害降低50% [同源]
如果运用者为男性且为处男时，所有功法威力增加10% [加成]，且不会衰老不会受到因年龄带来的所有减益，包括属性、生育能力，外貌不会变化","战斗开始时，运用者的所有真气变化为初始值的2倍，且运用者所受非外伤的重创伤害加倍；如果运用者为童子之身，小幅提高运用者所有功法的威力，且可使运用者青春不老
战斗开始时，所有真气变化为初始值的2倍，并可以与
易筋经此类增加真气的效果叠加
所受非外伤间接及直接重创伤害增加100% [同源]
如果运用者为男性且为处男时，所有功法威力增加10% [加成]，且不会衰老不会受到因年龄带来的所有减益，包括属性、生育能力，外貌不会变化","所受直接外伤重创伤害降低50% [同源]
如果运用者为男性且为处男时，所有功法威力增加10% [加成]，且{{tooltip|不会衰老|不会受到因年龄带来的所有减益，包括属性、生育能力，外貌不会变化}}|逆=**战斗开始时，所有真气变化为初始值的2倍，并可以与{{Link|功法|易筋经}}此类增加真气的效果叠加
所受非外伤间接及直接重创伤害增加100% [同源]
如果运用者为男性且为处男时，所有功法威力增加10% [加成]，且{{tooltip|不会衰老|不会受到因年龄带来的所有减益，包括属性、生育能力，外貌不会变化}}}}",威力|真气,通用|增伤|减伤|生存|资源|伤势联动,,,,内功,通用类,inferred,low,"定力：110
根骨：110","内功造诣：500
佛学造诣：500",,功法/洗髓经,high,目录外功法；build分类低置信度：内功/通用类
无上瑜伽法,功法/无上瑜伽法,内功,,无量金刚宗,1,神·一品,9,金刚,"运用者的内力属性为「金刚」时，运用者所有的功法更难被「封禁」、「打断」；运用者受到「金刚」、「紫霞」、「归元」类功法的攻击时，直接重创伤害降低80%
运用者所有功法被封禁/打断的几率-60% [加值]","运用者的内力属性为「金刚」时，即使施展功法所需的身体部位已残毁，仍能继续施展，但功法威力降低；运用者受到「金刚」、「紫霞」、「归元」类功法的攻击时，如果该功法未能发挥十成威力，敌人会受到此功法的部分反噬伤害
运用者即使施展功法所需的身体部位已残毁，仍能继续施展，但此时功法威力-30% [加值]",瑜伽即相应，行者三密相合，自性不离，与佛相应，故称瑜伽。无上瑜伽法修五相应，证圆通果，凝神入定，至三摩地，可令功成者诸幻尽灭，觉心不动，故为最胜无上之法门。,威力|反噬|真气,通用|减伤|生存|控制|资源|伤势联动|封禁功法,,,,内功,通用类,inferred,low,"定力：40
体质：140
根骨：40","内功造诣：500
佛学造诣：500",,功法/无上瑜伽法,high,门派标准化：金刚宗 -> 无量金刚宗；目录外功法；build分类低置信度：内功/通用类
伏君忧虞,功法/伏君忧虞,内功,,无门无派,1,神·一品,9,混元,焕心首次被击败时，将进入新的战斗阶段：每当焕心的攻击被化解，为焕心施加1个增加相应命中的增益状态；每当焕心未能化解敌人的攻击，为焕心施加1个增加相应化解的增益状态,焕心首次被击败时，将进入新的战斗阶段：每当焕心的攻击被化解，为焕心施加1个增加相应命中的增益状态；每当焕心未能化解敌人的攻击，为焕心施加1个增加相应化解的增益状态,,护体|命中,通用|生存|化解,,,,内功,通用类,inferred,low,,,,功法/伏君忧虞,high,目录外功法；build分类低置信度：内功/通用类
十转尘心,功法/十转尘心,内功,,无门无派,1,神·一品,9,混元,每当染尘子唤出不同的神剑，染尘子所有类型的真气大幅增加,每当染尘子唤出不同的神剑，染尘子所有类型的真气大幅增加,,真气,通用|资源,,,,内功,通用类,inferred,low,,,,功法/十转尘心,high,目录外功法；build分类低置信度：内功/通用类
